timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,moderate activity minutes,vigorous activity minutes
,,,,,,39860,56,,,,,,
,,,,,,39980,57,,,,,,
,,,,,,40040,56,,,,,,
,,,,,,40100,57,,,,,,
,,,,,,40220,56,,,,,,
,,,,,,40460,54,,,,,,
,,,,,,40640,55,,,,,,
2024-04-25T23:44:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,40700,58,,,,,,
,,,,,,40760,69,,,,,,
2024-04-25T23:46:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,40820,54,,,,,,
,,,,,,40880,51,,,,,,
,,,,,,40940,50,,,,,,
,,,,,,41000,49,,,,,,
2024-04-25T23:50:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,41060,50,,,,,,
2024-04-25T23:51:00.000Z,,,,sedentary,,,,1,,,,,
,,,,,,41120,53,,,,,,
,,,,,,41180,50,,,,,,
,,,,,,41480,51,,,,,,
2024-04-26T00:00:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,41660,49,,,,,,
,,,,,,41720,50,,,,,,
,,,,,,41840,51,,,,,,
,,,,,,41960,52,,,,,,
,,,,,,42080,54,,,,,,
,,,,,,42200,53,,,,,,
,,,,,,42320,52,,,,,,
,,,,,,42380,53,,,,,,
,,,,,,42500,54,,,,,,
,,,,,,42620,53,,,,,,
,,,,,,42680,54,,,,,,
,,,,,,42740,53,,,,,,
,,,,,,42920,54,,,,,,
,,,,,,43100,53,,,,,,
,,,,,,43160,54,,,,,,
,,,,,,43220,52,,,,,,
,,,,,,43280,54,,,,,,
,,,,,,43340,52,,,,,,
,,,,,,43400,54,,,,,,
,,,,,,43460,65,,,,,,
2024-04-26T00:31:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,43520,56,,,,,,
2024-04-26T00:32:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,43580,49,,,,,,
,,,,,,43640,53,,,,,,
,,,,,,43700,51,,,,,,
,,,,,,43760,54,,,,,,
,,,,,,43820,60,,,,,,
,,,,,,43880,64,,,,,,
,,,,,,43940,60,,,,,,
,,,,,,44000,65,,,,,,
2024-04-26T00:40:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,44060,63,,,,,,
,,,,,,44120,53,,,,,,
2024-04-26T00:42:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,44240,55,,,,,,
,,,,,,44300,58,,,,,,
,,,,,,44360,60,,,,,,
,,,,,,44420,69,,,,,,
,,,,,,44480,72,,,,,,
,,,,,,44540,69,,,,,,
,,,,,,44600,60,,,,,,
,,,,,,44660,66,,,,,,
2024-04-26T00:51:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,44720,57,,,,,,
,,,,,,44780,59,,,,,,
2024-04-26T00:53:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,44840,64,,,,,,
,,,,,,44900,56,,,,,,
,,,,,,44960,57,,,,,,
,,,,,,45020,62,,,,,,
,,,,,,45080,57,,,,,,
,,,,,,45140,55,,,,,,
2024-04-26T01:00:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,45260,56,,,,,,
2024-04-26T01:01:00.000Z,,,,sedentary,,,,0,,,,,
2024-04-26T01:02:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,45380,51,,,,,,
,,,,,,45500,53,,,,,,
,,,,,,45620,51,,,,,,
,,,,,,45680,53,,,,,,
,,,,,,45800,52,,,,,,
,,,,,,45860,53,,,,,,
,,,,,,45980,52,,,,,,
,,,,,,46040,53,,,,,,
2024-04-26T01:15:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,46280,52,,,,,,
2024-04-26T01:18:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,46340,57,,,,,,
,,,,,,46400,53,,,,,,
,,,,,,46460,50,,,,,,
,,,,,,46520,51,,,,,,
,,,,,,46580,52,,,,,,
,,,,,,46640,53,,,,,,
,,,,,,46760,54,,,,,,
,,,,,,46820,53,,,,,,
,,,,,,46880,54,,,,,,
,,,,,,46940,52,,,,,,
,,,,,,47000,53,,,,,,
,,,,,,47120,51,,,,,,
,,,,,,47180,52,,,,,,
2024-04-26T01:33:00.000Z,,,,sedentary,,,,0,,,,,
2024-04-26T01:34:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,47300,54,,,,,,
,,,,,,47360,51,,,,,,
2024-04-26T01:36:00.000Z,,,,sedentary,,,,0,,,,,
2024-04-26T01:37:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,47480,59,,,,,,
,,,,,,47540,53,,,,,,
,,,,,,47660,51,,,,,,
,,,,,,47720,50,,,,,,
2024-04-26T01:42:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,47780,57,,,,,,
2024-04-26T01:43:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,47840,65,,,,,,
,,,,,,47900,58,,,,,,
,,,,,,47960,55,,,,,,
,,,,,,48020,54,,,,,,
,,,,,,48140,50,,,,,,
,,,,,,48200,52,,,,,,
,,,,,,48260,51,,,,,,
,,,,,,48320,53,,,,,,
,,,,,,48380,52,,,,,,
,,,,,,48500,56,,,,,,
,,,,,,48560,55,,,,,,
,,,,,,48620,52,,,,,,
2024-04-26T01:58:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,48740,54,,,,,,
,,,,,,48800,55,,,,,,
2024-04-26T02:00:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,48860,60,,,,,,
2024-04-26T02:01:00.000Z,,,,sedentary,,,,1,,,,,
,,,,,,48920,61,,,,,,
,,,,,,48980,57,,,,,,
,,,,,,49040,51,,,,,,
,,,,,,49100,53,,,,,,
,,,,,,49160,51,,,,,,
,,,,,,49220,49,,,,,,
,,,,,,49280,51,,,,,,
,,,,,,49400,58,,,,,,
,,,,,,49460,50,,,,,,
,,,,,,49520,48,,,,,,
,,,,,,49580,51,,,,,,
,,,,,,49640,50,,,,,,
,,,,,,49820,53,,,,,,
,,,,,,49880,51,,,,,,
,,,,,,49940,50,,,,,,
,,,,,,50000,52,,,,,,
2024-04-26T02:20:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,50060,58,,,,,,
2024-04-26T02:21:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,50120,65,,,,,,
,,,,,,50180,48,,,,,,
,,,,,,50240,62,,,,,,
2024-04-26T02:24:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,50300,50,,,,,,
2024-04-26T02:25:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,50360,61,,,,,,
,,,,,,50420,53,,,,,,
2024-04-26T02:27:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,50480,57,,,,,,
2024-04-26T02:28:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,50540,55,,,,,,
,,,,,,50600,51,,,,,,
2024-04-26T02:30:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,50660,57,,,,,,
,,,,,,50720,56,,,,,,
,,,,,,50780,59,,,,,,
2024-04-26T02:33:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,50840,66,,,,,,
,,,,,,50900,52,,,,,,
,,,,,,50960,56,,,,,,
,,,,,,51020,61,,,,,,
,,,,,,51140,63,,,,,,
2024-04-26T02:40:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,51260,66,,,,,,
2024-04-26T02:41:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,51320,60,,,,,,
,,,,,,51380,56,,,,,,
,,,,,,51440,57,,,,,,
,,,,,,51500,60,,,,,,
,,,,,,51560,68,,,,,,
,,,,,,51620,64,,,,,,
,,,,,,51680,62,,,,,,
,,,,,,51740,61,,,,,,
2024-04-26T02:49:00.000Z,,,,sedentary,,,,0,,,,,
2024-04-26T02:50:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,51860,62,,,,,,
,,,,,,51920,51,,,,,,
,,,,,,51980,54,,,,,,
,,,,,,52040,56,,,,,,
,,,,,,52100,54,,,,,,
,,,,,,52160,57,,,,,,
,,,,,,52220,55,,,,,,
,,,,,,52280,59,,,,,,
,,,,,,52340,61,,,,,,
,,,,,,52400,58,,,,,,
2024-04-26T03:00:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,52460,66,,,,,,
2024-04-26T03:01:00.000Z,,,,sedentary,,,,1,,,,,
,,,,,,52520,62,,,,,,
2024-04-26T03:02:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,52580,59,,,,,,
2024-04-26T03:03:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,52640,67,,,,,,
2024-04-26T03:04:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,52700,62,,,,,,
2024-04-26T03:05:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,52760,55,,,,,,
,,,,,,52820,61,,,,,,
,,,,,,52880,58,,,,,,
,,,,,,52940,61,,,,,,
,,,,,,53000,56,,,,,,
,,,,,,53060,54,,,,,,
,,,,,,53180,57,,,,,,
,,,,,,53240,56,,,,,,
2024-04-26T03:15:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,53360,57,,,,,,
,,,,,,53420,55,,,,,,
2024-04-26T03:17:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,53480,54,,,,,,
,,,,,,53600,52,,,,,,
,,,,,,53660,55,,,,,,
,,,,,,53720,56,,,,,,
,,,,,,53780,53,,,,,,
2024-04-26T03:23:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,53840,54,,,,,,
,,,,,,53900,58,,,,,,
2024-04-26T03:25:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,53960,53,,,,,,
,,,,,,54080,50,,,,,,
,,,,,,54140,52,,,,,,
,,,,,,54200,53,,,,,,
,,,,,,54260,51,,,,,,
,,,,,,54320,54,,,,,,
,,,,,,54440,52,,,,,,
,,,,,,54740,54,,,,,,
2024-04-26T03:39:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,54800,53,,,,,,
2024-04-26T03:40:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,54860,55,,,,,,
,,,,,,54920,48,,,,,,
,,,,,,54980,49,,,,,,
,,,,,,55040,52,,,,,,
,,,,,,55100,53,,,,,,
,,,,,,55160,52,,,,,,
,,,,,,55280,53,,,,,,
2024-04-26T03:48:00.000Z,,,,sedentary,,,,0,,,,,
2024-04-26T03:49:00.000Z,,,,sedentary,,,,2,,,,,
,,,,,,55400,52,,,,,,
,,,,,,55460,49,,,,,,
,,,,,,55580,51,,,,,,
,,,,,,55640,49,,,,,,
2024-04-26T03:54:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,55700,50,,,,,,
2024-04-26T03:55:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,55760,49,,,,,,
,,,,,,55820,56,,,,,,
,,,,,,55880,54,,,,,,
,,,,,,55940,51,,,,,,
,,,,,,56000,55,,,,,,
2024-04-26T04:00:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,56120,81,,,,,,
,,,,,,56180,72,,,,,,
,,,,,,56240,64,,,,,,
,,,,,,56300,66,,,,,,
,,,,,,56360,71,,,,,,
,,,,,,56420,73,,,,,,
,,,,,,56480,78,,,,,,
,,,,,,56540,65,,,,,,
,,,,,,56660,77,,,,,,
,,,,,,56720,73,,,,,,
2024-04-26T04:12:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,56780,83,,,,,,
,,639,297.000,walking,13,56780,,4,,,,,
,,,,,,56840,94,,,,,,
2024-04-26T04:14:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,56900,95,,,,,,
,,668,340.000,walking,15,56900,,1,,,,,
,,,,,,56960,97,,,,,,
2024-04-26T04:17:00.000Z,,,,sedentary,,,,6,,,,,
,,696,348.000,walking,15,57080,,3,,,,,
,,,,,,57140,96,,,,,,
2024-04-26T04:19:00.000Z,,,,sedentary,,,,6,,,,,
,,,,,,57200,99,,,,,,
,,724,362.000,walking,16,57200,,1,,,,,
,,,,,,57260,98,,,,,,
2024-04-26T04:21:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,57289,,,,,5.815,,
,,,,,,57304,,,,,0.601,,
,,,,,,57320,96,,,,,,
,,794,393.000,walking,18,57320,,3,,,,,
,,,,,,57380,98,,,,,,
2024-04-26T04:23:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,57440,91,,,,,,
,,,,,,57500,92,,,,,,
,,820,405.000,walking,19,57500,,1,,,,,
,,,,,,57560,89,,,,,,
,,,,,,57620,83,,,,,,
,,,,,,57680,86,,,,,,
2024-04-26T04:28:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,57740,87,,,,,,
,,833,410.000,walking,19,57740,,1,,,,,
,,,,,,57800,92,,,,,,
2024-04-26T04:30:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,57860,89,,,,,,
,,,,,,57920,91,,,,,,
,,886,429.000,walking,20,57920,,1,,,,,
,,,,,,57980,87,,,,,,
,,,,,,58040,82,,,,,,
2024-04-26T04:34:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,58100,77,,,,,,
,,895,431.000,walking,20,58100,,2,,,,,
,,,,,,58160,88,,,,,,
,,,,,,58220,71,,,,,,
,,,,,,58280,67,,,,,,
,,,,,,58340,70,,,,,,
,,,,,,58400,74,,,,,,
2024-04-26T04:40:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,58444,,,,5.970,,,
,,,,,,58460,86,,,,,,
,,992,484.000,walking,22,58460,,2,,,,,
,,,,,,58520,98,,,,,,
2024-04-26T04:42:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,58580,85,,,,,,
2024-04-26T04:43:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,58640,64,,,,,,
,,,,,,58700,67,,,,,,
,,,,,,58760,78,,,,,,
,,,,,,58820,68,,,,,,
,,,,,,58880,78,,,,,,
,,,,,,58940,85,,,,,,
2024-04-26T04:49:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,59000,96,,,,,,
,,,,,,59060,95,,,,,,
,,,,,,59120,94,,,,,,
,,,,,,59180,95,,,,,,
,,,,,,59240,94,,,,,,
,,,,,,59300,89,,,,,,
,,1080,517.000,walking,23,59300,,2,,,,,
,,,,,,59360,91,,,,,,
,,,,,,59420,82,,,,,,
2024-04-26T04:57:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,59480,74,,,,,,
,,,,,,59529,,,,,6.258,,
,,,,,,59540,84,,,,,,
,,1175,557.000,walking,25,59540,,3,,,,,
,,,,,,59544,,,,,0.218,,
,,,,,,59600,86,,,,,,
2024-04-26T05:00:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,59660,79,,,,,,
,,,,,,59720,73,,,,,,
2024-04-26T05:02:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,59780,67,,,,,,
2024-04-26T05:03:00.000Z,,,,sedentary,,,,0,,,,,
,,,,,,59840,64,,,,,,
2024-04-26T05:04:00.000Z,,,,sedentary,,,,1,,,,,
,,,,,,59900,62,,,,,,
,,,,,,59960,73,,,,,,
,,1260,597.000,walking,26,59960,,2,,,,,
,,,,,,60020,86,,,,,,
,,,,,,60080,75,,,,,,
,,,,,,60200,73,,,,,,
,,,,,,60260,68,,,,,,
,,,,,,60320,70,,,,,,
,,,,,,60380,83,,,,,,
,,,,,,60440,77,,,,,,
2024-04-26T05:15:00.000Z,,,,sedentary,,,,5,,,,,
,,,,,,60560,71,,,,,,
,,,,,,60620,78,,,,,,
,,,,,,60680,68,,,,,,
,,1325,624.000,walking,26,60680,,1,,,,,
,,,,,,60740,70,,,,,,
2024-04-26T05:19:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,60800,72,,,,,,
,,1333,625.000,walking,26,60800,,2,,,,,
,,,,,,60860,76,,,,,,
2024-04-26T05:21:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,60920,64,,,,,,
,,1346,629.000,walking,26,60920,,1,,,,,
,,,,,,60980,71,,,,,,
2024-04-26T05:23:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,61100,73,,,,,,
,,1373,638.000,walking,26,61100,,1,,,,,
,,,,,,61160,77,,,,,,
,,,,,,61220,69,,,,,,
,,,,,,61280,68,,,,,,
,,,,,,61340,67,,,,,,
2024-04-26T05:29:00.000Z,,,,sedentary,,,,4,,,,,
,,1384,640.000,walking,26,61400,,3,,,,,
,,,,,,61580,63,,,,,,
,,,,,,61640,66,,,,,,
,,,,,,61700,67,,,,,,
,,,,,,61760,70,,,,,,
,,,,,,61820,65,,,,,,
,,,,,,61880,66,,,,,,
,,,,,,61940,65,,,,,,
,,,,,,62000,66,,,,,,
,,,,,,62060,67,,,,,,
,,,,,,62120,70,,,,,,
,,,,,,62180,62,,,,,,
2024-04-26T05:43:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,62240,63,,,,,,
,,1396,645.000,walking,26,62240,,0,,,,,
,,,,,,62300,71,,,,,,
,,,,,,62360,76,,,,,,
2024-04-26T05:46:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,62420,84,,,,,,
,,1411,649.000,walking,26,62420,,3,,,,,
,,,,,,62480,86,,,,,,
,,,,,,62540,71,,,,,,
,,,,,,62600,75,,,,,,
,,,,,,62660,80,,,,,,
,,,,,,62720,79,,,,,,
,,,,,,62780,80,,,,,,
,,,,,,62840,68,,,,,,
2024-04-26T05:54:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,62900,79,,,,,,
,,,,,,62960,88,,,,,,
,,,,,,63020,86,,,,,,
,,,,,,63080,91,,,,,,
,,,,,,63140,86,,,,,,
,,1583,726.000,walking,31,63140,,2,,,,,
,,,,,,63200,87,,,,,,
2024-04-26T06:00:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,63260,80,,,,,,
,,,,,,63320,73,,,,,,
,,,,,,63380,64,,,,,,
,,,,,,63440,76,,,,,,
,,1672,765.000,walking,31,63440,,2,,,,,
2024-04-26T06:05:00.000Z,,,,sedentary,,,,4,,,,,
,,,,,,63560,64,,,,,,
,,,,,,63620,66,,,,,,
,,,,,,63680,69,,,,,,
,,,,,,63740,74,,,,,,
,,,,,,63800,75,,,,,,
,,,,,,63860,70,,,,,,
,,,,,,63920,69,,,,,,
,,,,,,63980,77,,,,,,
,,,,,,64040,82,,,,,,
,,2036,952.000,walking,34,64040,,2,,,,,
,,,,,,64100,70,,,,,,
,,,,,,64160,60,,,,,,
2024-04-26T06:16:00.000Z,,,,sedentary,,,,3,,,,,
,,,,,,64220,59,,,,,,
,,,,,,64280,70,,,,,,
,,,,,,64340,76,,,,,,
,,,,,,64400,83,,,,,,
,,,,,,64409,,,,4.038,,,
,,,,,,64460,93,,,,,,
,,,,,,64520,92,,,,,,
