timestamp,heart rate
21:00,74
21:00,74
21:00,74
21:00,74
21:00,85
21:00,82
21:00,74
21:06,74
21:06,76
21:06,76
21:06,83
21:08,83
21:08,77
21:08,77
21:08,71
21:08,61
21:08,75
21:08,74
21:08,63
21:15,63
21:15,59
21:15,62
21:15,61
21:18,61
21:18,60
21:18,63
21:18,60
21:18,66
21:18,64
21:18,68
21:18,63
21:18,58
21:18,62
21:18,60
21:18,64
21:30,64
21:30,67
21:31,67
21:31,61
21:32,61
21:32,63
21:33,63
21:33,60
21:33,71
21:33,65
21:36,65
21:36,64
21:37,64
21:37,67
21:37,65
21:37,71
21:37,66
21:37,68
21:37,61
21:44,61
21:44,67
21:44,67
21:44,71
21:44,66
21:44,62
21:44,59
21:44,57
21:44,64
21:44,58
21:54,58
21:54,59
21:55,59
21:55,69
21:55,66
21:55,72
21:55,78
21:55,72
22:00,72
22:00,59
22:01,59
22:01,60
22:01,66
22:03,66
22:03,64
22:04,64
22:04,63
22:04,68
22:04,64
22:04,71
22:04,75
22:04,62
22:04,70
22:04,83
22:12,83
22:12,81
22:12,81
22:12,83
22:12,86
22:15,86
22:15,88
22:15,94
22:15,94
22:18,94
22:18,90
22:18,90
22:18,93
22:20,93
22:20,92
22:20,92
22:20,64
22:20,67
22:20,62
22:20,66
22:26,66
22:26,61
22:26,58
22:26,57
22:26,58
22:26,59
22:26,61
22:26,60
22:26,58
22:26,57
22:26,60
22:26,62
22:26,60
22:26,58
22:26,56
22:26,59
22:26,60
22:26,58
22:26,57
22:26,58
22:26,56
22:26,57
22:26,58
23:00,58
23:00,59
23:00,58
23:07,58
23:07,61
23:07,58
23:07,56
23:10,56
23:10,57
23:13,57
23:13,60
23:14,60
23:14,57
23:15,57
23:15,56
23:16,56
23:16,58
23:16,59
23:16,58
23:16,59
23:16,60
23:16,58
23:16,59
23:16,60
23:16,59
23:16,60
23:16,59
23:16,60
23:16,62
23:16,61
23:16,60
23:40,60
23:41,60
23:41,67
23:42,67
23:42,54
23:43,54
23:43,58
23:43,55
23:43,56
23:43,53
23:43,57
23:43,63
23:43,64
23:43,65
23:43,62
23:43,63
23:53,63
23:53,68
23:54,68
23:54,63
23:54,65
23:54,66
23:54,63
23:54,65
23:54,66
00:00,66
00:00,63
00:01,63
00:01,62
00:02,62
00:02,61
00:03,61
00:03,57
00:04,57
00:04,58
00:04,55
00:04,57
00:08,57
00:08,58
00:09,58
00:09,61
00:09,56
00:09,57
00:12,57
00:12,56
00:13,56
00:13,55
00:13,56
00:13,55
00:13,56
00:23,56
00:23,57
00:23,62
00:25,62
00:25,71
00:25,57
00:25,54
00:25,53
00:25,54
00:31,54
00:32,54
00:32,56
00:32,55
00:34,55
00:34,58
00:35,58
00:35,57
00:35,55
00:35,56
00:35,55
00:35,57
00:35,56
00:35,57
00:44,57
00:44,60
00:46,60
00:46,56
00:46,52
00:46,53
00:46,51
00:46,53
00:46,51
00:53,51
00:53,54
00:55,54
00:55,50
00:55,51
00:55,52
00:55,50
01:00,50
01:00,53
01:00,48
01:00,53
01:00,50
01:00,49
01:05,49
01:05,50
01:06,50
01:06,58
01:06,52
