timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
,,,,,,32764,72,,,,
,,,,,,32824,75,,,,
2024-05-08T00:50:00.000Z,,,,sedentary,,,,0,,,
,,,,,,32884,66,,,,
2024-05-08T00:51:00.000Z,,,,sedentary,,,,3,,,
,,,,,,32944,64,,,,
,,,,,,33004,63,,,,
,,,,,,33064,68,,,,
,,,,,,33124,72,,,,
,,,,,,33184,73,,,,
2024-05-08T00:56:00.000Z,,,,sedentary,,,,0,,,
,,,,,,33244,76,,,,
2024-05-08T00:57:00.000Z,,,,sedentary,,,,3,,,
,,,,,,33304,70,,,,
,,,,,,33364,61,,,,
2024-05-08T00:59:00.000Z,,,,sedentary,,,,0,,,
,,,,,,33424,64,,,,
2024-05-08T01:00:00.000Z,,,,sedentary,,,,3,,,
,,,,,,33484,57,,,,
,,,,,,33544,58,,,,
,,,,,,33604,59,,,,
,,,,,,33664,58,,,,
,,,,,,33724,57,,,,
2024-05-08T01:05:00.000Z,,,,sedentary,,,,0,,,
,,,,,,33784,64,,,,
2024-05-08T01:06:00.000Z,,,,sedentary,,,,4,,,
,,,,,,33904,60,,,,
,,,,,,34024,64,,,,
,,,,,,34084,59,,,,
,,,,,,34204,54,,,,
,,,,,,34264,57,,,,
2024-05-08T01:14:00.000Z,,,,sedentary,,,,0,,,
2024-05-08T01:15:00.000Z,,,,sedentary,,,,3,,,
,,,,,,34384,59,,,,
,,,,,,34444,61,,,,
,,,,,,34504,56,,,,
,,,,,,34564,57,,,,
,,,,,,34624,59,,,,
,,,,,,34684,58,,,,
,,,,,,35044,59,,,,
,,,,,,35104,60,,,,
,,,,,,35164,59,,,,
,,,,,,35224,57,,,,
,,,,,,35284,59,,,,
,,,,,,35404,60,,,,
,,,,,,35464,61,,,,
,,,,,,35524,57,,,,
2024-05-08T01:35:00.000Z,,,,sedentary,,,,0,,,
,,,,,,35584,56,,,,
2024-05-08T01:36:00.000Z,,,,sedentary,,,,1,,,
2024-05-08T01:37:00.000Z,,,,sedentary,,,,0,,,
,,,,,,35704,60,,,,
2024-05-08T01:38:00.000Z,,,,sedentary,,,,1,,,
,,,,,,35764,54,,,,
,,,,,,35824,55,,,,
,,,,,,36004,56,,,,
,,,,,,36124,57,,,,
,,,,,,36184,56,,,,
,,,,,,36244,55,,,,
,,,,,,36364,56,,,,
,,,,,,36544,57,,,,
,,,,,,36604,56,,,,
,,,,,,36664,55,,,,
,,,,,,36784,56,,,,
,,,,,,36844,55,,,,
,,,,,,36904,54,,,,
,,,,,,36964,53,,,,
2024-05-08T02:00:00.000Z,,,,sedentary,,,,0,,,
,,,,,,37084,54,,,,
2024-05-08T02:01:00.000Z,,,,sedentary,,,,0,,,
2024-05-08T02:02:00.000Z,,,,sedentary,,,,3,,,
,,,,,,37204,57,,,,
2024-05-08T02:03:00.000Z,,,,sedentary,,,,0,,,
,,,,,,37264,48,,,,
2024-05-08T02:04:00.000Z,,,,sedentary,,,,1,,,
,,,,,,37324,47,,,,
2024-05-08T02:05:00.000Z,,,,sedentary,,,,0,,,
,,,,,,37384,57,,,,
2024-05-08T02:06:00.000Z,,,,sedentary,,,,4,,,
,,,,,,37444,56,,,,
,,,,,,37504,55,,,,
2024-05-08T02:08:00.000Z,,,,sedentary,,,,0,,,
,,,,,,37564,49,,,,
2024-05-08T02:09:00.000Z,,,,sedentary,,,,1,,,
,,,,,,37624,58,,,,
,,,,,,37684,48,,,,
,,,,,,37744,49,,,,
,,,,,,37804,48,,,,
,,,,,,37864,49,,,,
2024-05-08T02:15:00.000Z,,,,sedentary,,,,0,,,
,,,,,,37984,50,,,,
2024-05-08T02:17:00.000Z,,,,sedentary,,,,2,,,
,,,,,,38104,47,,,,
,,,,,,38164,49,,,,
,,,,,,38404,47,,,,
,,,,,,38464,49,,,,
,,,,,,38584,48,,,,
,,,,,,38644,49,,,,
,,,,,,38704,50,,,,
,,,,,,38764,49,,,,
,,,,,,38884,51,,,,
,,,,,,38944,50,,,,
,,,,,,39004,48,,,,
2024-05-08T02:33:00.000Z,,,,sedentary,,,,0,,,
,,,,,,39064,50,,,,
,,,,,,39124,65,,,,
2024-05-08T02:35:00.000Z,,,,sedentary,,,,3,,,
,,,,,,39184,54,,,,
,,,,,,39244,50,,,,
,,,,,,39304,56,,,,
,,,,,,39364,51,,,,
,,,,,,39484,54,,,,
,,,,,,39544,59,,,,
2024-05-08T02:42:00.000Z,,,,sedentary,,,,0,,,
,,,,,,39604,57,,,,
,,,,,,39664,61,,,,
2024-05-08T02:44:00.000Z,,,,sedentary,,,,2,,,
,,,,,,39724,58,,,,
2024-05-08T02:46:00.000Z,,,,sedentary,,,,0,,,
,,,,,,39844,56,,,,
2024-05-08T02:47:00.000Z,,,,sedentary,,,,2,,,
,,,,,,39904,55,,,,
2024-05-08T02:48:00.000Z,,,,sedentary,,,,0,,,
,,,,,,39964,56,,,,
2024-05-08T02:49:00.000Z,,,,sedentary,,,,3,,,
,,,,,,40024,53,,,,
,,,,,,40084,57,,,,
,,,,,,40144,60,,,,
,,,,,,40204,56,,,,
,,,,,,40264,59,,,,
,,,,,,40444,65,,,,
2024-05-08T02:57:00.000Z,,,,sedentary,,,,0,,,
,,,,,,40504,68,,,,
2024-05-08T02:58:00.000Z,,,,sedentary,,,,1,,,
,,,,,,40564,66,,,,
,,,,,,40624,61,,,,
2024-05-08T03:00:00.000Z,,,,sedentary,,,,0,,,
,,,,,,40684,58,,,,
2024-05-08T03:01:00.000Z,,,,sedentary,,,,0,,,
,,,,,,40744,60,,,,
2024-05-08T03:02:00.000Z,,,,sedentary,,,,2,,,
,,,,,,40804,63,,,,
,,,,,,40864,54,,,,
,,,,,,41044,52,,,,
,,,,,,41104,56,,,,
,,,,,,41164,54,,,,
2024-05-08T03:09:00.000Z,,,,sedentary,,,,0,,,
,,,,,,41224,53,,,,
2024-05-08T03:10:00.000Z,,,,sedentary,,,,2,,,
,,,,,,41284,59,,,,
,,,,,,41344,55,,,,
,,,,,,41404,56,,,,
,,,,,,41464,60,,,,
,,,,,,41524,59,,,,
,,,,,,41584,57,,,,
,,,,,,41644,56,,,,
,,,,,,41704,53,,,,
,,,,,,41764,52,,,,
,,,,,,41824,59,,,,
,,,,,,41884,56,,,,
,,,,,,41944,57,,,,
,,,,,,42004,56,,,,
,,,,,,42064,61,,,,
,,,,,,42124,52,,,,
,,,,,,42184,56,,,,
,,,,,,42244,63,,,,
,,,,,,42304,55,,,,
,,,,,,42364,56,,,,
2024-05-08T03:29:00.000Z,,,,sedentary,,,,0,,,
,,,,,,42424,59,,,,
2024-05-08T03:30:00.000Z,,,,sedentary,,,,3,,,
,,,,,,42484,49,,,,
,,,,,,42544,53,,,,
,,,,,,42604,57,,,,
2024-05-08T03:33:00.000Z,,,,sedentary,,,,0,,,
,,,,,,42664,62,,,,
2024-05-08T03:34:00.000Z,,,,sedentary,,,,5,,,
,,,,,,42724,55,,,,
,,,,,,42784,54,,,,
,,,,,,42844,59,,,,
,,,,,,42904,58,,,,
,,,,,,42964,56,,,,
,,,,,,43024,52,,,,
,,,,,,43084,55,,,,
,,,,,,43144,57,,,,
,,,,,,43204,52,,,,
,,,,,,43264,54,,,,
,,,,,,43324,51,,,,
,,,,,,43384,54,,,,
,,,,,,43444,52,,,,
,,,,,,43504,53,,,,
,,,,,,43684,55,,,,
,,,,,,43804,53,,,,
2024-05-08T03:53:00.000Z,,,,sedentary,,,,0,,,
,,,,,,43864,52,,,,
2024-05-08T03:54:00.000Z,,,,sedentary,,,,4,,,
