timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
2024-05-08T22:00:00.000Z,,,,,,,,,,,
2024-05-08T22:00:00.000Z,,,,,,,,,,,
,,,,,,43608,85,,,,
,,,,,,43668,78,,,,
,,,,,,43788,88,,,,
,,,,,,43848,84,,,,
,,,,,,43908,79,,,,
,,,,,,43968,77,,,,
,,,,,,44028,74,,,,
2024-05-08T22:09:00.000Z,,,,sedentary,,,,4,,,
,,,,,,44088,73,,,,
,,,,,,44148,76,,,,
2024-05-08T22:11:00.000Z,,,,sedentary,,,,0,,,
,,,,,,44208,72,,,,
,,,,,,44268,74,,,,
,,,,,,44328,73,,,,
,,,,,,44388,66,,,,
,,,,,,44448,78,,,,
,,,,,,44508,72,,,,
,,,,,,44568,74,,,,
,,,,,,44688,79,,,,
,,,,,,44748,74,,,,
,,,,,,44808,81,,,,
,,,,,,44868,78,,,,
,,,,,,44928,76,,,,
,,,,,,44988,74,,,,
2024-05-08T22:25:00.000Z,,,,sedentary,,,,4,,,
,,,,,,45048,73,,,,
,,,,,,45168,74,,,,
2024-05-08T22:28:00.000Z,,,,sedentary,,,,0,,,
,,,,,,45228,75,,,,
,,,,,,45288,73,,,,
2024-05-08T22:30:00.000Z,,,,sedentary,,,,2,,,
,,,,,,45348,72,,,,
,,,,,,45408,71,,,,
2024-05-08T22:32:00.000Z,,,,sedentary,,,,0,,,
,,,,,,45468,76,,,,
,,,,,,45528,72,,,,
2024-05-08T22:34:00.000Z,,,,sedentary,,,,2,,,
,,,,,,45588,74,,,,
,,,,,,45648,72,,,,
,,,,,,45708,70,,,,
,,,,,,45828,71,,,,
,,,,,,45888,70,,,,
,,,,,,45948,69,,,,
,,,,,,46068,70,,,,
,,,,,,46128,66,,,,
,,,,,,46188,69,,,,
,,,,,,46368,70,,,,
,,,,,,46488,68,,,,
,,,,,,46548,69,,,,
,,,,,,46608,70,,,,
,,,,,,46668,68,,,,
2024-05-08T22:53:00.000Z,,,,sedentary,,,,0,,,
,,,,,,46728,67,,,,
2024-05-08T22:54:00.000Z,,,,sedentary,,,,2,,,
,,,,,,46848,68,,,,
2024-05-08T22:56:00.000Z,,,,sedentary,,,,0,,,
,,,,,,46908,76,,,,
2024-05-08T22:57:00.000Z,,,,sedentary,,,,5,,,
,,,,,,46968,81,,,,
2024-05-08T22:58:00.000Z,,,,sedentary,,,,0,,,
,,,,,,47028,72,,,,
,,,,,,47088,75,,,,
2024-05-08T23:00:00.000Z,,,,sedentary,,,,3,,,
,,,,,,47148,67,,,,
,,,,,,47208,70,,,,
,,,,,,47328,71,,,,
,,,,,,47388,68,,,,
,,,,,,47508,69,,,,
,,,,,,47568,68,,,,
2024-05-08T23:09:00.000Z,,,,sedentary,,,,0,,,
,,,,,,47688,73,,,,
2024-05-08T23:10:00.000Z,,,,sedentary,,,,4,,,
,,,,,,47748,81,,,,
,,,,,,47808,69,,,,
,,,,,,47868,68,,,,
2024-05-08T23:13:00.000Z,,,,sedentary,,,,0,,,
,,,,,,47928,69,,,,
2024-05-08T23:14:00.000Z,,,,sedentary,,,,3,,,
,,,,,,47988,65,,,,
,,,,,,48108,69,,,,
,,,,,,48168,65,,,,
,,,,,,48228,66,,,,
,,,,,,48288,65,,,,
,,,,,,48348,67,,,,
,,,,,,48408,65,,,,
,,,,,,48528,66,,,,
,,,,,,48588,65,,,,
,,,,,,48648,64,,,,
,,,,,,48708,65,,,,
,,,,,,48948,66,,,,
2024-05-08T23:31:00.000Z,,,,sedentary,,,,0,,,
,,,,,,49008,68,,,,
2024-05-08T23:32:00.000Z,,,,sedentary,,,,2,,,
,,,,,,49068,70,,,,
2024-05-08T23:37:00.000Z,,,,sedentary,,,,0,,,
,,,,,,49488,80,,,,
,,,,,,49548,83,,,,
,,,,,,49608,91,,,,
,,,,,,49668,94,,,,
,,,,,,49788,99,,,,
,,,,,,49848,91,,,,
2024-05-08T23:46:00.000Z,,,,sedentary,,,,4,,,
,,,,,,49908,83,,,,
,,,,,,49968,81,,,,
,,,,,,50028,77,,,,
2024-05-08T23:49:00.000Z,,,,sedentary,,,,0,,,
,,,,,,50088,79,,,,
,,,,,,50148,85,,,,
,,,,,,50208,75,,,,
,,,,,,50268,77,,,,
2024-05-08T23:53:00.000Z,,,,sedentary,,,,3,,,
,,,,,,50328,72,,,,
,,,,,,50448,69,,,,
2024-05-08T23:56:00.000Z,,,,sedentary,,,,0,,,
,,,,,,50508,71,,,,
2024-05-08T23:57:00.000Z,,,,sedentary,,,,2,,,
,,,,,,50568,68,,,,
,,,,,,50628,67,,,,
,,,,,,50688,69,,,,
2024-05-09T00:00:00.000Z,,,,sedentary,,,,0,,,
,,,,,,50748,67,,,,
,,,,,,50808,69,,,,
,,,,,,50868,67,,,,
,,,,,,50928,68,,,,
2024-05-09T00:04:00.000Z,,,,sedentary,,,,0,,,
,,,,,,50988,67,,,,
2024-05-09T00:05:00.000Z,,,,sedentary,,,,2,,,
,,,,,,51168,69,,,,
,,,,,,51228,67,,,,
,,,,,,51288,70,,,,
2024-05-09T00:10:00.000Z,,,,sedentary,,,,0,,,
,,,,,,51348,66,,,,
2024-05-09T00:11:00.000Z,,,,sedentary,,,,3,,,
,,,,,,51408,69,,,,
,,,,,,51468,72,,,,
,,,,,,51528,71,,,,
,,,,,,51588,70,,,,
,,,,,,51708,72,,,,
,,,,,,51768,71,,,,
,,,,,,51828,72,,,,
,,,,,,51888,73,,,,
,,,,,,52068,71,,,,
,,,,,,52128,72,,,,
,,,,,,52248,71,,,,
,,,,,,52308,73,,,,
2024-05-09T00:27:00.000Z,,,,sedentary,,,,0,,,
,,,,,,52368,71,,,,
,,,,,,52428,72,,,,
2024-05-09T00:29:00.000Z,,,,sedentary,,,,4,,,
,,,,,,52488,75,,,,
2024-05-09T00:30:00.000Z,,,,sedentary,,,,0,,,
,,,,,,52548,71,,,,
2024-05-09T00:31:00.000Z,,,,sedentary,,,,1,,,
,,,,,,52608,73,,,,
,,,,,,52668,72,,,,
,,,,,,52728,73,,,,
,,,,,,52788,72,,,,
,,,,,,52848,70,,,,
,,,,,,52908,73,,,,
,,,,,,52968,70,,,,
,,,,,,53028,69,,,,
,,,,,,53088,66,,,,
2024-05-09T00:41:00.000Z,,,,sedentary,,,,0,,,
,,,,,,53208,80,,,,
2024-05-09T00:42:00.000Z,,,,sedentary,,,,2,,,
,,,,,,53268,64,,,,
,,,,,,53328,62,,,,
2024-05-09T00:44:00.000Z,,,,sedentary,,,,0,,,
,,,,,,53388,63,,,,
,,,,,,53448,62,,,,
2024-05-09T00:46:00.000Z,,,,sedentary,,,,3,,,
,,,,,,53508,68,,,,
,,,,,,53568,64,,,,
,,,,,,53628,61,,,,
2024-05-09T00:50:00.000Z,,,,sedentary,,,,0,,,
2024-05-09T00:51:00.000Z,,,,sedentary,,,,2,,,
,,,,,,53808,59,,,,
,,,,,,53868,60,,,,
2024-05-09T00:53:00.000Z,,,,sedentary,,,,0,,,
,,,,,,53928,62,,,,
2024-05-09T00:54:00.000Z,,,,sedentary,,,,2,,,
,,,,,,53988,68,,,,
2024-05-09T00:55:00.000Z,,,,sedentary,,,,0,,,
,,,,,,54048,63,,,,
,,,,,,54108,60,,,,
,,,,,,54168,58,,,,
2024-05-09T00:58:00.000Z,,,,sedentary,,,,1,,,
,,,,,,54228,62,,,,
,,,,,,54288,65,,,,
2024-05-09T01:00:00.000Z,,,,sedentary,,,,0,,,
,,,,,,54348,60,,,,
,,,,,,54468,70,,,,
,,,,,,54528,68,,,,
,,,,,,54588,85,,,,
,,,,,,54648,78,,,,
,,,,,,54708,76,,,,
2024-05-09T01:07:00.000Z,,,,sedentary,,,,4,,,
,,,,,,54768,89,,,,
,,15,5.000,walking,0,54768,,1,,,
,,,,,,54828,75,,,,
,,,,,,54888,66,,,,
,,,,,,54948,70,,,,
,,,,,,55008,73,,,,
,,,,,,55068,65,,,,
2024-05-09T01:13:00.000Z,,,,sedentary,,,,3,,,
,,,,,,55128,71,,,,
,,,,,,55188,69,,,,
2024-05-09T01:15:00.000Z,,,,sedentary,,,,0,,,
,,,,,,55248,74,,,,
2024-05-09T01:16:00.000Z,,,,sedentary,,,,6,,,
,,,,,,55308,90,,,,
,,,,,,55368,99,,,,
,,,,,,55376,,,,2.176,
,,,,,,55428,95,,,,
,,,,,,55488,96,,,,
,,,,,,55548,92,,,,
,,,,,,55608,93,,,,
,,,,,,55668,101,,,,
,,,,,,55728,102,,,,
,,,,,,55788,107,,,,
,,,,,,55848,105,,,,
,,,,,,55908,101,,,,
,,799,492.000,walking,26,55908,,2,,,
,,,,,,55968,105,,,,
,,,,,,56028,102,,,,
,,0,98.000,generic,5,56028,,5,,,
,,,,,,56088,91,,,,
,,,,,,56148,85,,,,
,,,,,,56208,81,,,,
,,,,,,56268,80,,,,
,,,,,,56328,82,,,,
,,,,,,56448,86,,,,
,,,,,,56508,85,,,,
,,,,,,56568,84,,,,
,,,,,,56628,74,,,,
,,,,,,56688,73,,,,
,,,,,,56748,74,,,,
,,,,,,56808,72,,,,
,,,,,,56988,77,,,,
,,,,,,57048,73,,,,
,,,,,,57108,76,,,,
,,,,,,57168,73,,,,
,,,,,,57228,70,,,,
,,,,,,57288,80,,,,
2024-05-09T01:50:00.000Z,,,,sedentary,,,,4,,,
,,,,,,57348,87,,,,
,,814,496.000,walking,26,57348,,3,,,
,,,,,,57408,90,,,,
,,,,,,57468,75,,,,
,,,,,,57528,59,,,,
,,,,,,57588,53,,,,
2024-05-09T01:55:00.000Z,,,,sedentary,,,,5,,,
,,,,,,57648,65,,,,
,,828,500.000,walking,26,57648,,2,,,
,,,,,,57708,70,,,,
2024-05-09T01:57:00.000Z,,,,sedentary,,,,5,,,
,,,,,,57768,60,,,,
,,,,,,57796,,,,2.720,
,,,,,,57828,73,,,,
,,,,,,57866,,,,4.247,
,,,,,,57888,87,,,,
,,946,539.000,walking,27,57888,,1,,,
,,,,,,57916,,,,,6.656
,,,,,,58008,81,,,,
,,968,546.000,walking,27,58008,,2,,,
,,,,,,58068,80,,,,
2024-05-09T02:03:00.000Z,,,,sedentary,,,,2,,,
,,,,,,58128,87,,,,
2024-05-09T02:04:00.000Z,,,,sedentary,,,,0,,,
,,,,,,58188,86,,,,
2024-05-09T02:05:00.000Z,,,,sedentary,,,,4,,,
,,,,,,58248,81,,,,
2024-05-09T02:06:00.000Z,,,,sedentary,,,,0,,,
,,,,,,58308,83,,,,
,,988,549.000,walking,27,58308,,2,,,
,,,,,,58368,79,,,,
2024-05-09T02:08:00.000Z,,,,sedentary,,,,3,,,
,,,,,,58428,81,,,,
,,,,,,58488,86,,,,
,,,,,,58548,79,,,,
,,1044,560.000,walking,28,58548,,2,,,
,,,,,,58608,85,,,,
2024-05-09T02:12:00.000Z,,,,sedentary,,,,4,,,
,,,,,,58668,89,,,,
,,1063,567.000,walking,28,58668,,2,,,
,,,,,,58728,92,,,,
2024-05-09T02:14:00.000Z,,,,sedentary,,,,4,,,
,,,,,,58788,87,,,,
,,1086,575.000,walking,28,58788,,3,,,
,,,,,,58848,103,,,,
,,,,,,58908,109,,,,
,,1167,676.000,walking,36,58908,,1,,,
,,,,,,58968,106,,,,
,,,,,,59028,109,,,,
,,0,218.000,generic,14,59028,,6,,,
,,1194,736.000,walking,41,59088,,0,,,
,,,,,,59208,110,,,,
,,,,,,59268,107,,,,
,,,,,,59328,104,,,,
,,,,,,59388,103,,,,
,,,,,,59448,114,,,,
,,0,518.000,generic,36,59448,,6,,,
,,,,,,59508,108,,,,
,,,,,,59568,111,,,,
,,1302,856.000,walking,51,59568,,1,,,
,,,,,,59628,118,,,,
,,,,,,59688,115,,,,
,,0,638.000,generic,47,59688,,7,,,
,,,,,,59748,104,,,,
,,1322,916.000,walking,54,59748,,0,,,
,,,,,,59808,108,,,,
,,0,698.000,generic,50,59808,,6,,,
,,,,,,59868,100,,,,
,,,,,,59928,88,,,,
,,,,,,59988,86,,,,
2024-05-09T02:35:00.000Z,,,,sedentary,,,,3,,,
,,,,,,60048,80,,,,
