timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent
2024-05-04T21:00:00.000Z,,,,,,,,,,,
2024-05-04T21:00:00.000Z,,,,,,,,,,,
,,,,,,22028,89,,,,
,,39,13.000,walking,0,22028,,4,,,
,,,,,,22088,88,,,,
,,,,,,22148,92,,,,
,,,,,,22208,84,,,,
,,,,,,22268,79,,,,
,,,,,,22328,81,,,,
,,,,,,22388,80,,,,
,,,,,,22448,77,,,,
,,,,,,22508,82,,,,
,,,,,,22568,69,,,,
,,,,,,22628,72,,,,
,,,,,,22688,81,,,,
,,,,,,22748,86,,,,
2024-05-04T21:13:00.000Z,,,,sedentary,,,,5,,,
,,,,,,22808,92,,,,
,,,,,,22868,97,,,,
,,88,27.000,walking,1,22868,,3,,,
,,,,,,22928,98,,,,
,,92,29.000,walking,1,22928,,3,,,
,,,,,,22988,90,,,,
,,,,,,23048,100,,,,
,,,,,,23108,93,,,,
2024-05-04T21:19:00.000Z,,,,sedentary,,,,6,,,
,,,,,,23168,79,,,,
,,,,,,23228,76,,,,
,,,,,,23288,71,,,,
,,,,,,23348,70,,,,
,,,,,,23408,76,,,,
,,,,,,23435,,,,,3.480
,,,,,,23450,,,,6.331,
,,,,,,23465,,,,0.100,
,,,,,,23468,96,,,,
,,,,,,23515,,,,,6.408
,,,,,,23528,109,,,,
,,,,,,23545,,,,6.562,
,,,,,,23588,97,,,,
,,486,225.000,walking,14,23588,,2,,,
,,,,,,23648,100,,,,
2024-05-04T21:29:00.000Z,,,,sedentary,,,,6,,,
,,,,,,23768,75,,,,
2024-05-04T21:30:00.000Z,,,,sedentary,,,,0,,,
,,,,,,23828,68,,,,
,,,,,,23888,70,,,,
,,,,,,23948,69,,,,
,,,,,,24008,65,,,,
,,,,,,24248,64,,,,
,,,,,,24308,67,,,,
2024-05-04T21:39:00.000Z,,,,sedentary,,,,3,,,
2024-05-04T21:40:00.000Z,,,,sedentary,,,,0,,,
,,,,,,24428,70,,,,
,,,,,,24488,69,,,,
,,,,,,24548,66,,,,
,,,,,,24608,64,,,,
,,,,,,24668,74,,,,
,,,,,,24728,71,,,,
,,,,,,24788,73,,,,
,,,,,,24848,68,,,,
,,,,,,24908,61,,,,
,,,,,,24968,66,,,,
,,,,,,25028,64,,,,
,,,,,,25088,63,,,,
,,,,,,25148,68,,,,
2024-05-04T21:53:00.000Z,,,,sedentary,,,,4,,,
,,,,,,25208,67,,,,
2024-05-04T21:54:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25268,63,,,,
2024-05-04T21:55:00.000Z,,,,sedentary,,,,2,,,
,,,,,,25388,62,,,,
,,,,,,25448,57,,,,
,,,,,,25508,62,,,,
,,,,,,25568,59,,,,
2024-05-04T22:00:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25628,58,,,,
2024-05-04T22:01:00.000Z,,,,sedentary,,,,0,,,
,,,,,,25688,64,,,,
2024-05-04T22:02:00.000Z,,,,sedentary,,,,4,,,
,,,,,,25748,69,,,,
,,,,,,25808,59,,,,
,,,,,,25868,58,,,,
,,,,,,25988,60,,,,
,,,,,,26108,56,,,,
,,,,,,26168,57,,,,
,,,,,,26228,59,,,,
,,,,,,26288,57,,,,
,,,,,,26348,58,,,,
,,,,,,26588,56,,,,
,,,,,,26768,57,,,,
,,,,,,26888,56,,,,
,,,,,,26948,57,,,,
,,,,,,27248,56,,,,
,,,,,,27308,58,,,,
,,,,,,27368,57,,,,
,,,,,,27428,56,,,,
,,,,,,27488,57,,,,
,,,,,,27728,56,,,,
,,,,,,27788,55,,,,
,,,,,,28028,56,,,,
,,,,,,28268,57,,,,
,,,,,,28328,56,,,,
,,,,,,28388,55,,,,
,,,,,,28448,56,,,,
,,,,,,28508,55,,,,
,,,,,,28568,56,,,,
,,,,,,28748,57,,,,
,,,,,,28868,56,,,,
,,,,,,29048,55,,,,
,,,,,,29108,56,,,,
2024-05-04T23:00:00.000Z,,,,sedentary,,,,0,,,
,,,,,,29228,57,,,,
,,,,,,29288,55,,,,
2024-05-04T23:02:00.000Z,,,,sedentary,,,,0,,,
,,,,,,29348,63,,,,
2024-05-04T23:03:00.000Z,,,,sedentary,,,,4,,,
,,,,,,29408,64,,,,
,,,,,,29468,54,,,,
,,,,,,29528,52,,,,
2024-05-04T23:06:00.000Z,,,,sedentary,,,,0,,,
,,,,,,29588,54,,,,
2024-05-04T23:07:00.000Z,,,,sedentary,,,,1,,,
,,,,,,29648,53,,,,
,,,,,,29708,55,,,,
,,,,,,29768,61,,,,
,,,,,,29828,59,,,,
,,,,,,29888,60,,,,
,,,,,,29948,59,,,,
,,,,,,30008,62,,,,
,,,,,,30068,58,,,,
,,,,,,30128,62,,,,
,,,,,,30188,58,,,,
,,,,,,30368,59,,,,
,,,,,,30428,60,,,,
,,,,,,30488,58,,,,
,,,,,,30548,57,,,,
,,,,,,30608,55,,,,
,,,,,,30668,57,,,,
,,,,,,30788,59,,,,
,,,,,,30848,57,,,,
,,,,,,30908,56,,,,
,,,,,,30968,55,,,,
,,,,,,31088,54,,,,
,,,,,,31148,53,,,,
,,,,,,31268,52,,,,
,,,,,,31328,53,,,,
2024-05-04T23:39:00.000Z,,,,sedentary,,,,0,,,
,,,,,,31568,52,,,,
2024-05-04T23:40:00.000Z,,,,sedentary,,,,3,,,
,,,,,,31628,51,,,,
,,,,,,31688,49,,,,
,,,,,,31748,53,,,,
,,,,,,31808,52,,,,
2024-05-04T23:48:00.000Z,,,,sedentary,,,,0,,,
,,,,,,32108,53,,,,
,,,,,,32168,51,,,,
2024-05-04T23:50:00.000Z,,,,sedentary,,,,2,,,
,,,,,,32228,50,,,,
,,,,,,32348,49,,,,
,,,,,,32408,51,,,,
2024-05-04T23:54:00.000Z,,,,sedentary,,,,0,,,
,,,,,,32468,50,,,,
,,,,,,32528,51,,,,
2024-05-04T23:56:00.000Z,,,,sedentary,,,,3,,,
,,,,,,32588,49,,,,
,,,,,,32708,51,,,,
