timestamp,distance,cycles,active time,activity type,active calories,timestamp 16,heart rate,intensity,duration min,ascent,descent,moderate activity minutes
,,,,,,40360,74,,,,,
,,,,,,40420,73,,,,,
2022-07-25T00:55:00.000Z,,,,sedentary,,,,0,,,,
2022-07-25T00:56:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,40540,81,,,,,
2022-07-25T00:57:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,40600,83,,,,,
,,,,,,40660,84,,,,,
2022-07-25T00:59:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,40720,118,,,,,
,,46,120.000,walking,7,40720,,4,,,,
,,,,,,40780,124,,,,,
2022-07-25T01:01:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,40840,67,,,,,
,,,,,,40900,69,,,,,
,,,,,,40960,73,,,,,
,,,,,,41080,66,,,,,
,,,,,,41140,72,,,,,
,,,,,,41200,67,,,,,
,,,,,,41260,71,,,,,
,,,,,,41320,70,,,,,
,,,,,,41380,66,,,,,
,,,,,,41440,63,,,,,
,,,,,,41500,71,,,,,
,,,,,,41560,68,,,,,
,,,,,,41620,73,,,,,
,,,,,,41680,72,,,,,
,,,,,,41740,73,,,,,
,,,,,,41800,66,,,,,
,,,,,,41860,70,,,,,
,,,,,,41920,72,,,,,
,,,,,,41980,71,,,,,
,,,,,,42040,73,,,,,
,,,,,,42100,71,,,,,
,,,,,,42160,69,,,,,
,,,,,,42220,67,,,,,
2022-07-25T01:26:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,42340,69,,,,,
2022-07-25T01:27:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,42400,67,,,,,
,,,,,,42460,61,,,,,
,,,,,,42520,65,,,,,
,,,,,,42580,67,,,,,
,,,,,,42640,61,,,,,
2022-07-25T01:32:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,42700,64,,,,,
,,,,,,42760,69,,,,,
2022-07-25T01:34:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,42820,75,,,,,
,,,,,,42880,73,,,,,
,,,,,,42940,77,,,,,
,,,,,,43000,72,,,,,
,,,,,,43060,75,,,,,
,,,,,,43120,73,,,,,
,,,,,,43180,71,,,,,
,,,,,,43240,70,,,,,
,,,,,,43360,71,,,,,
,,,,,,43420,70,,,,,
,,,,,,43540,71,,,,,
,,,,,,43600,70,,,,,
,,,,,,43660,68,,,,,
,,,,,,43720,69,,,,,
,,,,,,43780,68,,,,,
,,,,,,43900,69,,,,,
,,,,,,43960,68,,,,,
,,,,,,44020,67,,,,,
,,,,,,44140,69,,,,,
,,,,,,44380,67,,,,,
2022-07-25T02:01:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,44440,69,,,,,
,,,,,,44500,68,,,,,
,,,,,,44560,70,,,,,
,,,,,,44620,69,,,,,
,,,,,,44680,70,,,,,
,,,,,,44740,71,,,,,
,,,,,,44860,70,,,,,
,,,,,,44920,69,,,,,
,,,,,,44980,67,,,,,
,,,,,,45100,68,,,,,
,,,,,,45220,67,,,,,
,,,,,,45280,68,,,,,
,,,,,,45400,69,,,,,
,,,,,,45460,68,,,,,
,,,,,,45640,67,,,,,
,,,,,,45700,66,,,,,
,,,,,,45760,68,,,,,
,,,,,,45880,67,,,,,
,,,,,,46000,68,,,,,
,,,,,,46060,67,,,,,
2022-07-25T02:31:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,46240,69,,,,,
2022-07-25T02:32:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,46300,71,,,,,
,,,,,,46360,65,,,,,
2022-07-25T02:34:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,46420,71,,,,,
2022-07-25T02:35:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,46480,74,,,,,
,,,,,,46540,71,,,,,
,,,,,,46600,68,,,,,
,,,,,,46660,70,,,,,
,,,,,,46720,72,,,,,
,,,,,,46780,69,,,,,
,,,,,,46840,72,,,,,
,,,,,,46900,69,,,,,
2022-07-25T02:43:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,46960,68,,,,,
2022-07-25T02:44:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,47020,72,,,,,
,,,,,,47080,70,,,,,
,,,,,,47140,72,,,,,
,,,,,,47200,69,,,,,
,,,,,,47260,72,,,,,
,,,,,,47320,71,,,,,
2022-07-25T02:50:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,47440,75,,,,,
2022-07-25T02:52:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,47500,71,,,,,
,,,,,,47560,66,,,,,
,,,,,,47620,64,,,,,
,,,,,,47740,67,,,,,
,,,,,,47800,69,,,,,
2022-07-25T02:58:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,47860,68,,,,,
2022-07-25T02:59:00.000Z,,,,sedentary,,,,3,,,,
2022-07-25T03:00:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,47980,70,,,,,
2022-07-25T03:01:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,48040,72,,,,,
,,,,,,48160,78,,,,,
,,,,,,48220,82,,,,,
2022-07-25T03:05:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,48280,94,,,,,
,,57,180.000,walking,13,48280,,1,,,,
,,,,,,48340,120,,,,,
,,0,60.000,generic,3,48340,,4,,,,
,,,,,,48400,107,,,,,
2022-07-25T03:08:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,48460,90,,,,,
,,,,,,48520,110,,,,,
,,,,,,48580,117,,,,,
,,,,,,48640,118,,,,,
,,,,,,48700,110,,,,,
,,,,,,48760,111,,,,,
,,205,540.000,walking,38,48760,,3,,,,
,,,,,,48820,112,,,,,
,,0,120.000,generic,6,48820,,5,,,,
,,,,,,48880,102,,,,,
,,238,600.000,walking,41,48880,,1,,,,
,,,,,,48940,101,,,,,
2022-07-25T03:17:00.000Z,,,,sedentary,,,,6,,,,
,,,,,,49000,97,,,,,
,,,,,,49060,98,,,,,
,,,,,,49064,,,,3.048,,
,,,,,,49120,113,,,,,
,,375,780.000,walking,48,49120,,2,,,,
,,,,,,49180,115,,,,,
,,,,,,49240,102,,,,,
,,0,201.000,generic,10,49240,,5,,,,
,,,,,,49300,89,,,,,
,,,,,,49360,84,,,,,
,,,,,,49420,78,,,,,
,,,,,,49480,81,,,,,
,,,,,,49540,80,,,,,
,,,,,,49660,81,,,,,
2022-07-25T03:29:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,49720,98,,,,,
,,470,833.000,walking,51,49720,,2,,,,
,,,,,,49780,101,,,,,
,,531,893.000,walking,54,49780,,1,,,,
,,,,,,49840,98,,,,,
2022-07-25T03:32:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,49900,91,,,,,
2022-07-25T03:33:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,49960,88,,,,,
,,,,,,50020,105,,,,,
,,,,,,50080,107,,,,,
,,,,,,50089,,,,3.048,,
,,,,,,50140,116,,,,,
,,,,,,50200,125,,,,,
,,,,,,50260,115,,,,,
,,,,,,50320,110,,,,,
,,,,,,50380,108,,,,,
,,,,,,50440,107,,,,,
,,,,,,50620,108,,,,,
,,1218,1545.000,walking,94,50620,,1,,,,
,,,,,,50680,109,,,,,
,,,,,,50740,107,,,,,
,,1395,1665.000,walking,100,50740,,2,,,,
,,,,,,50800,103,,,,,
,,0,222.000,generic,11,50800,,6,,,,
,,,,,,50860,91,,,,,
2022-07-25T03:49:00.000Z,,,,sedentary,,,,5,,,,
,,,,,,50920,90,,,,,
,,1408,1672.000,walking,101,50920,,1,,,,
,,,,,,50980,98,,,,,
,,,,,,51040,96,,,,,
,,,,,,51100,73,,,,,
,,,,,,51160,70,,,,,
,,,,,,51220,65,,,,,
,,,,,,51280,69,,,,,
,,,,,,51340,80,,,,,
,,,,,,51460,77,,,,,
,,,,,,51520,79,,,,,
2022-07-25T04:00:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,51580,71,,,,,
2022-07-25T04:01:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,51640,70,,,,,
2022-07-25T04:02:00.000Z,,,,sedentary,,,,2,,,,
,,,,,,51700,69,,,,,
2022-07-25T04:03:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,51760,67,,,,,
,,,,,,51820,69,,,,,
2022-07-25T04:05:00.000Z,,,,sedentary,,,,1,,,,
,,,,,,51880,70,,,,,
,,,,,,51940,73,,,,,
2022-07-25T04:07:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,52000,72,,,,,
,,,,,,52060,80,,,,,
,,,,,,52120,74,,,,,
,,,,,,52180,71,,,,,
2022-07-25T04:11:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,52240,69,,,,,
,,,,,,52300,80,,,,,
,,1445,1683.000,walking,101,52300,,2,,,,
,,,,,,52360,88,,,,,
,,,,,,52420,69,,,,,
,,,,,,52480,66,,,,,
,,,,,,52540,69,,,,,
,,,,,,52600,67,,,,,
,,,,,,52660,68,,,,,
2022-07-25T04:19:00.000Z,,,,sedentary,,,,3,,,,
,,,,,,52720,70,,,,,
2022-07-25T04:20:00.000Z,,,,sedentary,,,,0,,,,
,,,,,,52780,69,,,,,
,,,,,,52840,70,,,,,
,,,,,,52900,71,,,,,
,,,,,,52960,72,,,,,
,,,,,,53020,87,,,,,
,,,,,,53080,79,,,,,
,,,,,,53140,71,,,,,
2022-07-25T04:27:00.000Z,,,,sedentary,,,,4,,,,
,,,,,,53200,70,,,,,
