stress level value,stress level time
22,2024-05-09T00:48:00.000Z
22,2024-05-09T00:49:00.000Z
18,2024-05-09T00:50:00.000Z
20,2024-05-09T00:51:00.000Z
17,2024-05-09T00:52:00.000Z
23,2024-05-09T00:53:00.000Z
24,2024-05-09T00:54:00.000Z
36,2024-05-09T00:55:00.000Z
25,2024-05-09T00:56:00.000Z
20,2024-05-09T00:57:00.000Z
16,2024-05-09T00:58:00.000Z
-1,2024-05-09T00:59:00.000Z
39,2024-05-09T01:00:00.000Z
20,2024-05-09T01:01:00.000Z
30,2024-05-09T01:02:00.000Z
50,2024-05-09T01:03:00.000Z
51,2024-05-09T01:04:00.000Z
81,2024-05-09T01:05:00.000Z
69,2024-05-09T01:06:00.000Z
71,2024-05-09T01:07:00.000Z
-1,2024-05-09T01:08:00.000Z
-1,2024-05-09T01:09:00.000Z
39,2024-05-09T01:10:00.000Z
51,2024-05-09T01:11:00.000Z
46,2024-05-09T01:12:00.000Z
34,2024-05-09T01:13:00.000Z
50,2024-05-09T01:14:00.000Z
49,2024-05-09T01:15:00.000Z
68,2024-05-09T01:16:00.000Z
-2,2024-05-09T01:17:00.000Z
-2,2024-05-09T01:18:00.000Z
-2,2024-05-09T01:19:00.000Z
-2,2024-05-09T01:20:00.000Z
-2,2024-05-09T01:21:00.000Z
-2,2024-05-09T01:22:00.000Z
-2,2024-05-09T01:23:00.000Z
-2,2024-05-09T01:24:00.000Z
-2,2024-05-09T01:25:00.000Z
-2,2024-05-09T01:26:00.000Z
-2,2024-05-09T01:27:00.000Z
-1,2024-05-09T01:28:00.000Z
94,2024-05-09T01:29:00.000Z
86,2024-05-09T01:30:00.000Z
81,2024-05-09T01:31:00.000Z
74,2024-05-09T01:32:00.000Z
69,2024-05-09T01:33:00.000Z
75,2024-05-09T01:34:00.000Z
77,2024-05-09T01:35:00.000Z
81,2024-05-09T01:36:00.000Z
81,2024-05-09T01:37:00.000Z
76,2024-05-09T01:38:00.000Z
58,2024-05-09T01:39:00.000Z
63,2024-05-09T01:40:00.000Z
68,2024-05-09T01:41:00.000Z
58,2024-05-09T01:42:00.000Z
62,2024-05-09T01:43:00.000Z
58,2024-05-09T01:44:00.000Z
67,2024-05-09T01:45:00.000Z
72,2024-05-09T01:46:00.000Z
69,2024-05-09T01:47:00.000Z
54,2024-05-09T01:48:00.000Z
48,2024-05-09T01:49:00.000Z
80,2024-05-09T01:50:00.000Z
83,2024-05-09T01:51:00.000Z
87,2024-05-09T01:52:00.000Z
38,2024-05-09T01:53:00.000Z
20,2024-05-09T01:54:00.000Z
16,2024-05-09T01:55:00.000Z
-2,2024-05-09T01:56:00.000Z
-1,2024-05-09T01:57:00.000Z
20,2024-05-09T01:58:00.000Z
-1,2024-05-09T01:59:00.000Z
-1,2024-05-09T02:00:00.000Z
82,2024-05-09T02:01:00.000Z
78,2024-05-09T02:02:00.000Z
69,2024-05-09T02:03:00.000Z
85,2024-05-09T02:04:00.000Z
72,2024-05-09T02:05:00.000Z
62,2024-05-09T02:06:00.000Z
-1,2024-05-09T02:07:00.000Z
-1,2024-05-09T02:08:00.000Z
-1,2024-05-09T02:09:00.000Z
-1,2024-05-09T02:10:00.000Z
-1,2024-05-09T02:11:00.000Z
-1,2024-05-09T02:12:00.000Z
86,2024-05-09T02:13:00.000Z
86,2024-05-09T02:14:00.000Z
-2,2024-05-09T02:15:00.000Z
-2,2024-05-09T02:16:00.000Z
-2,2024-05-09T02:17:00.000Z
-2,2024-05-09T02:18:00.000Z
-2,2024-05-09T02:19:00.000Z
-2,2024-05-09T02:20:00.000Z
-2,2024-05-09T02:21:00.000Z
-2,2024-05-09T02:22:00.000Z
96,2024-05-09T02:23:00.000Z
-2,2024-05-09T02:24:00.000Z
-2,2024-05-09T02:25:00.000Z
98,2024-05-09T02:26:00.000Z
-2,2024-05-09T02:27:00.000Z
-2,2024-05-09T02:28:00.000Z
-2,2024-05-09T02:29:00.000Z
-1,2024-05-09T02:30:00.000Z
-2,2024-05-09T02:31:00.000Z
-2,2024-05-09T02:32:00.000Z
88,2024-05-09T02:33:00.000Z
86,2024-05-09T02:34:00.000Z
81,2024-05-09T02:35:00.000Z
77,2024-05-09T02:36:00.000Z
75,2024-05-09T02:37:00.000Z
76,2024-05-09T02:38:00.000Z
72,2024-05-09T02:39:00.000Z
75,2024-05-09T02:40:00.000Z
77,2024-05-09T02:41:00.000Z
78,2024-05-09T02:42:00.000Z
80,2024-05-09T02:43:00.000Z
90,2024-05-09T02:44:00.000Z
92,2024-05-09T02:45:00.000Z
83,2024-05-09T02:46:00.000Z
75,2024-05-09T02:47:00.000Z
70,2024-05-09T02:48:00.000Z
82,2024-05-09T02:49:00.000Z
82,2024-05-09T02:50:00.000Z
66,2024-05-09T02:51:00.000Z
56,2024-05-09T02:52:00.000Z
56,2024-05-09T02:53:00.000Z
63,2024-05-09T02:54:00.000Z
66,2024-05-09T02:55:00.000Z
66,2024-05-09T02:56:00.000Z
66,2024-05-09T02:57:00.000Z
64,2024-05-09T02:58:00.000Z
67,2024-05-09T02:59:00.000Z
42,2024-05-09T03:00:00.000Z
30,2024-05-09T03:01:00.000Z
33,2024-05-09T03:02:00.000Z
28,2024-05-09T03:03:00.000Z
44,2024-05-09T03:04:00.000Z
35,2024-05-09T03:05:00.000Z
44,2024-05-09T03:06:00.000Z
50,2024-05-09T03:07:00.000Z
33,2024-05-09T03:08:00.000Z
30,2024-05-09T03:09:00.000Z
32,2024-05-09T03:10:00.000Z
39,2024-05-09T03:11:00.000Z
34,2024-05-09T03:12:00.000Z
